,city,lat,long,temp,humidity,cloudiness,windspeed,max temp,country,datetime
141,Mange,8.92,-12.85,30.0,70,75,4.6,30.0,SL,1603572176
142,Nikolskoye,59.7,30.79,2.51,90,0,2.0,3.89,RU,1603572177
143,Richards Bay,-28.78,32.04,21.55,81,0,6.32,21.55,ZA,1603572177
144,São Filipe,14.9,-24.5,27.44,74,95,4.6,27.44,CV,1603572177
145,Mount Gambier,-37.83,140.77,8.0,65,40,7.7,8.0,AU,1603572177
146,Camaquã,-30.85,-51.81,22.72,83,69,2.43,22.72,BR,1603572177
147,New Norfolk,-42.78,147.06,4.99,67,2,1.34,6.11,AU,1603572178
148,Keetmanshoop,-26.58,18.13,25.83,18,59,4.08,25.83,NA,1603572178
149,Kodinsk,58.69,99.18,-2.97,96,71,0.79,-2.97,RU,1603572178
150,Flinders,-34.58,150.86,13.18,83,95,3.13,13.89,AU,1603572178
151,Barcelona,41.39,2.16,17.01,72,0,5.7,17.78,ES,1603572064
152,Saint Anthony,45.02,-93.22,-0.53,54,75,3.1,0.0,US,1603572179
153,Seymchan,62.88,152.43,-2.63,95,96,1.21,-2.63,RU,1603572179
154,Saint George,37.1,-113.58,24.63,28,1,2.86,25.56,US,1603572005
155,Half Moon Bay,37.46,-122.43,18.88,68,90,2.1,20.0,US,1603572179
156,Qaanaaq,77.48,-69.36,-8.21,92,100,5.64,-8.21,GL,1603572180
157,Manono,-7.3,27.42,22.41,84,38,1.15,22.41,CD,1603572180
158,Haines Junction,60.75,-137.51,-2.98,74,100,0.53,-2.98,CA,1603572180
159,Kahului,20.89,-156.47,29.22,55,20,3.6,31.0,US,1603572181
160,Bandarbeyla,9.49,50.81,24.64,81,79,2.79,24.64,SO,1603572181
161,Paamiut,61.99,-49.67,-0.58,86,18,4.15,-0.58,GL,1603572181
162,Heihe,50.24,127.49,2.0,47,0,5.0,2.0,CN,1603572181
163,Marawi,8.0,124.29,23.33,91,100,1.79,23.33,PH,1603572182
164,Santa Rita,-7.11,-34.98,27.0,74,20,5.1,27.0,BR,1603572021
165,Tuatapere,-46.13,167.68,21.67,57,96,6.71,21.67,NZ,1603572182
166,Vaini,-21.2,-175.2,23.0,88,75,4.6,23.0,TO,1603572182
167,Sanghar,26.05,68.95,21.0,64,0,2.1,21.0,PK,1603572183
168,Shetpe,44.17,52.12,12.45,94,98,6.8,12.45,KZ,1603572183
169,Muros,42.78,-9.06,16.4,89,91,13.41,16.67,ES,1603572183
170,Province of Mantua,45.17,10.78,12.0,94,1,0.89,13.33,IT,1603572183
171,Cabinda,-5.55,12.2,25.07,84,97,3.01,25.07,AO,1603572183
172,Port Elizabeth,-33.92,25.57,17.78,82,19,0.45,17.78,ZA,1603572184
173,Cap Malheureux,-19.98,57.61,20.56,86,32,2.24,20.56,MU,1603572184
174,Clyde River,70.47,-68.59,-8.0,78,90,4.1,-8.0,CA,1603572184
175,Ferme-Neuve,46.7,-75.45,2.18,79,57,3.95,2.18,CA,1603572184
176,Labuhan,-6.88,112.21,26.4,82,100,2.8,26.4,ID,1603572185
177,Antofagasta,-23.65,-70.4,16.0,77,75,6.7,16.0,CL,1603572185
178,Constitución,-35.33,-72.42,13.83,76,100,8.06,13.83,CL,1603572185
179,Polovinnoye,54.79,65.99,2.89,94,100,6.39,2.89,RU,1603572185
